t,kGeV,sigmaGeV,ZQ,ZPhi,etaQ,etaPhi,hPhi,m_piGeV,m_sigmaGeV,m_qGeV
0.000000e+00,6.500000e-01,1.661110e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.282671e-01,3.365678e-01,5.481662e-02
1.000000e-02,6.435324e-01,1.696770e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.247993e-01,3.334864e-01,5.599340e-02
2.000000e-02,6.371291e-01,1.731986e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.214802e-01,3.305586e-01,5.715555e-02
3.000000e-02,6.307896e-01,1.766681e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.183079e-01,3.277805e-01,5.830048e-02
4.000000e-02,6.245131e-01,1.800780e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.152798e-01,3.251478e-01,5.942574e-02
5.000000e-02,6.182991e-01,1.834213e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.123933e-01,3.226561e-01,6.052901e-02
6.000000e-02,6.121469e-01,1.866913e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.096453e-01,3.203007e-01,6.160814e-02
7.000000e-02,6.060560e-01,1.898822e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.070325e-01,3.180766e-01,6.266113e-02
8.000000e-02,6.000256e-01,1.929884e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.045516e-01,3.159789e-01,6.368617e-02
9.000000e-02,5.940553e-01,1.960048e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,3.021991e-01,3.140023e-01,6.468159e-02
1.000000e-01,5.881443e-01,1.989272e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.999711e-01,3.121418e-01,6.564597e-02
1.100000e-01,5.822922e-01,2.017516e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.978640e-01,3.103921e-01,6.657802e-02
1.200000e-01,5.764983e-01,2.044748e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.958739e-01,3.087482e-01,6.747668e-02
1.300000e-01,5.707620e-01,2.070941e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.939968e-01,3.072049e-01,6.834106e-02
1.400000e-01,5.650829e-01,2.096074e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.922289e-01,3.057575e-01,6.917045e-02
1.500000e-01,5.594602e-01,2.120131e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.905662e-01,3.044009e-01,6.996434e-02
1.600000e-01,5.538935e-01,2.143102e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.890048e-01,3.031306e-01,7.072237e-02
1.700000e-01,5.483821e-01,2.164981e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.875408e-01,3.019420e-01,7.144438e-02
1.800000e-01,5.429256e-01,2.185768e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.861703e-01,3.008307e-01,7.213034e-02
1.900000e-01,5.375234e-01,2.205466e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.848894e-01,2.997924e-01,7.278037e-02
2.000000e-01,5.321750e-01,2.224083e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.836946e-01,2.988232e-01,7.339475e-02
2.100000e-01,5.268798e-01,2.241632e-02,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,6.600000e+00,2.825819e-01,2.979193e-01,7.397385e-02
