  2.132358251381964E-006   194861.422399532     
  2.352047837913739E-006   194861.422417783     
  2.594371291760050E-006   194861.422430718     
  2.861660503374210E-006   194861.422448323     
  3.156487609370551E-006   194861.422662922     
  3.481689745136710E-006   194861.423138000     
  3.840396345558713E-006   194861.423353206     
  4.236059261752252E-006   194861.423828355     
  4.672485976898256E-006   194861.424055911     
  5.153876245195741E-006   194861.424537723     
  5.684862508018186E-006   194861.425019556     
  6.270554471525138E-006   194861.425251179     
  6.916588277247573E-006   194861.425744592     
  7.629180739343908E-006   194861.426245516     
  8.415189167412654E-006   194861.426744844     
  9.282177358581601E-006   194861.427250456     
  1.023848838110449E-005   194861.428349545     
  1.129332486171620E-005   194861.428419138     
  1.245683754013278E-005   194861.428942223     
  1.374022295367091E-005   194861.430055331     
  1.515583118181777E-005   194861.430140451     
  1.671728469013583E-005   194861.430687923     
  1.843960941587283E-005   194861.431236278     
  2.033937937340319E-005   194861.431794595     
  2.243487613823991E-005   194861.432362114     
  2.474626477410939E-005   194861.432493290     
  2.729578788426128E-005   194861.432833344     
  3.010797964392845E-005   194861.432983775     
  3.320990191180396E-005   194861.433150508     
  3.663140462961122E-005   194861.433330565     
  4.040541308172497E-005   194861.433529271     
  4.456824472019469E-005   194861.433735840     
  4.915995867579940E-005   194861.433961098     
  5.422474122597307E-005   194861.434204197     
  5.981133101389715E-005   194861.434469309     
  6.597348804310665E-005   194861.434746574     
  7.277051104748966E-005   194861.435045675     
  8.026780809592496E-005   194861.435366492     
  8.853752602762847E-005   194861.435709662     
  9.765924473058503E-005   194861.436080001     
  1.077207429091118E-004   194861.436467173     
  1.188188428472223E-004   194861.436883265     
  1.310603420819249E-004   194861.437330694     
  1.445630411100787E-004   194861.437802056     
  1.594568770331469E-004   194861.438300371     
  1.758851739394756E-004   194861.438832603     
  1.940060221013969E-004   194861.383235339     
  2.139937992519082E-004   194861.383835922     
  2.360408486969905E-004   194861.384470566     
  2.603593302281948E-004   194861.385145622     
  2.871832617128696E-004   194861.385862430     
  3.167707710998097E-004   194861.327757942     
  3.494065802938186E-004   194861.328561347     
  3.854047452390412E-004   194861.277394783     
  4.251116779149227E-004   194861.278301923     
  4.689094799872320E-004   194861.218349851     
  5.172196196116921E-004   194861.219367502     
  5.705069875556569E-004   194862.129309961     
  6.292843705547587E-004   194862.362979105     
  6.941173860511661E-004   194862.759532364     
  7.656299251019027E-004   194864.085303324     
  8.445101560559905E-004   194932.135127153     
  9.315171469844244E-004   194904.997990598     
  1.027488170067230E-003   194900.078513246     
  1.133346758836414E-003   194897.835026037     
  1.250111595027292E-003   194896.615265439     
  1.378906312032807E-003   194895.921172621     
  1.520970307126552E-003   194895.540504798     
  1.677670668527654E-003   194895.364507014     
  1.850515330390402E-003   194895.331038791     
  2.041167584775654E-003   194895.401851161     
  2.251462086635944E-003   194895.552192243     
  2.483422509263640E-003   194895.765540518     
  2.739281017391754E-003   194896.030659143     
  3.021499748847835E-003   194896.339896996     
  3.332794506537868E-003   194896.688077329     
  3.676160893158519E-003   194897.071805099     
  4.054903138247403E-003   194897.488996082     
  4.472665893566588E-003   194897.938529519     
  4.933469308247379E-003   194898.420054549     
  5.441747712876239E-003   194898.933796425     
  6.002392290277516E-003   194899.480432469     
  6.620798146902415E-003   194900.061046455     
  7.302916226972783E-003   194900.677034407     
  8.055310580032941E-003   194901.330079739     
  8.885221526699700E-003   194902.022123090     
  9.800635331801059E-003   194902.755341391     
  1.081036105753922E-002   194903.532149006     
  1.192411533298365E-002   194904.355191343     
  1.315261585775290E-002   194905.227349818     
  1.450768453463685E-002   194906.151730589     
  1.600236124033363E-002   194907.131714914     
  1.765102930056992E-002   194908.170936559     
  1.946955390613374E-002   194909.273320731     
  2.147543477603890E-002   194910.443074421     
  2.368797456959907E-002   194911.684753196     
  2.612846462715404E-002   194913.003252440     
  2.882038985825827E-002   194914.403842865     
  3.178965473871493E-002   194915.892202325     
  3.506483258548496E-002   194917.474446462     
  3.867744052379468E-002   194919.157167635     
  4.266224277049843E-002   194920.947473930     
  4.705758517451738E-002   194922.853033417     
  5.190576420374866E-002   194924.882104918     
  5.725343398953892E-002   194927.043621594     
  6.315205525375132E-002   194929.347216106     
  6.965839052725710E-002   194931.803185380     
  7.683505035023205E-002   194934.422940206     
  8.475109580943910E-002   194937.218560934     
  9.348270307660522E-002   194940.203182577     
  0.103113896460878        194943.391011672     
  0.113737356940835        194946.797405379     
  0.125455314076539        194950.439000463     
  0.138380529709001        194954.333795539     
  0.152637383081812        194958.501288913     
  0.168363067675648        194962.962581144     
  0.185708911478040        194967.740551900     
  0.204841833137737        194972.859988526     
  0.225945948203549        194978.347765792     
  0.249224340800405        194984.233010261     
  0.274901017930438        194990.547325587     
  0.303223064976787        194997.324988801     
  0.334463023358233        195004.603191486     
  0.368921513112116        195012.422299348     
  0.406930125659806        195020.826129308     
  0.448854614590249        195029.862256796     
  0.495098415172313        195039.582349817     
  0.546106526332470        195050.042520166     
  0.602369792788864        195061.303735817     
  0.664429628207236        195073.432252179     
  0.732883224735022        195086.500066686     
  0.808389299516524        195100.585445451     
  0.891674432972149        195115.773477015     
  0.983540060288365        195132.156694486     
   1.08487018250834        195149.835717680     
   1.19663987308766        195168.920019702     
   1.31992465953675        195189.528689992     
   1.45591087177774        195211.791295320     
   1.60590705756989        195235.848859170     
   1.77135657208427        195261.854857343     
   1.95385146525886        195289.976344215     
   2.15514779999625        195320.395188672     
   2.37718254717925        195353.309377013     
   2.62209222111280        195388.934455215     
   2.89223343520811        195427.505078106     
   3.19020557424622        195469.276695042     
   3.51887580103917        195514.527312545     
   3.88140663986415        195563.559429364     
   4.28128639832140        195616.702011410     
   4.72236272686561        195674.312671109     
   5.20887962819840        195736.779761044     
   5.74551828227216        195804.524621946     
   6.33744207302739        195878.003700501     
   6.99034625095546        195957.710618482     
   7.71051271415112        196044.178020848     
   8.50487042000812        196137.979003301     
   9.38106202695901        196239.728192301     
   10.3475173887245        196350.082032433     
   11.4135346192050        196469.738316576     
   12.5893695033513        196599.434773029     
   13.8863341049405        196739.946509036     
   15.3169055260612        196892.082428710     
   16.8948458710832        197056.680813455     
   18.6353345414263        197234.604334173     
   20.5551141532609        197426.735262716     
   22.6726514728126        197633.971864730     
   25.0083149094954        197857.227202341     
   27.5845702783900        198097.431781881     
   30.4261967027027        198355.541519918     
   33.5605247258314        198632.552155783     
   37.0176989550400        198929.520833490     
   40.8309676929693        199247.594553307     
   45.0370024081859        199588.044593289     
   49.6762500525772        199952.304964933     
   54.7933216982826        200342.012699275     
   60.4374211224361        200759.047487818     
   66.6628175636353        201205.568955240     
   73.5293671374924        201684.050524778     
   81.1030880462485        202197.310137172     
   89.4567949877831        202748.538964288     
   98.6707990232812        203341.330471559     
   108.833679693965        203979.712726437     
   120.043136857916        204668.187237326     
   132.406930515187        205411.777765969     
   146.043917906241        206216.092776107     
   161.085198064817        207087.405057324     
   177.675375037558        208032.752487323     
   195.973952328936        209060.064178961     
   216.156872611224        210178.317469718     
   238.418217886505        211397.732264514     
   262.972087552651        212730.011864312     
   290.054673454761        214188.642194423     
   319.926553084778        215789.266063331     
   352.875225246527        217550.155462520     
   389.217914187292        219492.813877383     
   429.304672988266        221642.754143231     
   473.521818686706        224030.516565604     
   522.295738151331        226693.022410727     
   576.097105822929        229675.403432397     
   635.445562891616        233033.522665181     
